,,,,,info,2050 nox for CT (save set #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,results compiled date:,14:52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,egutable id,na,na,544 13,10646 BLR1,10646 BLR2,82802 1,55042 BE1,55042 STG,82112 1,10567 GT1,540 10,55042 BE2,10567 STG,82116 7,568 BHB3,50498 GT,50498 GTG,82116 8,542 13,542 14,54945 12,542 12,542 10,50648 UNIT1,50648 UNIT2,54945 11,542 11,56257 CY 2,56257 CY 1,56257 CY 3,50664 B101,82859 1,50664 B103,544 14,50736 B2,544 10,561 10,544 12,56798 U1,55163 UNT2,55163 UNT1,55163 UNT3,56256 JS 4,82800 CC1,82800 GT1,56798 U2,56256 JS 3,55126 CT02,566 2,546 11,55149 LRG3,55149 LRG2,55126 CT01,566 3,546 6,546 5,562 10,548 1,548 2,548 10,55517 CT03,55517 CT02,55517 CT04,82860 1,50564 GEN1,581 TRBINE,82117 1,6156 NHB1,55517 CT01,563 14A,563 13A,563 11A,56189 5,56189 4,50883 BLR1,50883 BLR2,565 10,557 10,56189 7,50883 BLR3,54758 BW2,562 2,562 4,562 3,563 12A,54945 13,50664 B102,544 11,56256 JS 1,55149 LRG1,55517 CT05,546 10,54758 BW1,568 BHB4,,,,
,,,,,name,na,na,Devon Station-544_G_13,American Ref-Fuel of SE CT-10646_B_BLR1,American Ref-Fuel of SE CT-10646_B_BLR2,Boehringer Ingelheim-82802_G_1,Bridgeport Energy Project-55042_G_GEN1,Bridgeport Energy Project-55042_G_STG,East Windsor NORCAP-82112_G_1,Algonquin Windsor Locks-10567_G_GTG,Branford-540_G_UN10,Bridgeport Energy Project-55042_G_GEN2,Algonquin Windsor Locks-10567_G_STG,CMEEC-82116_G_7,Bridgeport Station-568_B_BHB3,Capital District Energy Center-50498_G_STG,Capital District Energy Center-50498_G_GTG,CMEEC-82116_G_8,Cos Cob-542_G_UN13,Cos Cob-542_G_UN14,Covanta Mid-Connecticut Energy-54945_B_12,Cos Cob-542_G_UN12,Cos Cob-542_G_UN10,Covanta Bristol Energy-50648_B_UNIT1,Covanta Bristol Energy-50648_B_UNIT2,Covanta Mid-Connecticut Energy-54945_B_11,Cos Cob-542_G_UN11,Cytec 1 & 2-56257_G_CY 2,Cytec 1 & 2-56257_G_CY 1,Cytec 1 & 2-56257_G_CY 3,Covanta Wallingford Energy-50664_B_B101,NENG_CT_Combined Cycle-82859_C_1,Covanta Wallingford Energy-50664_B_B103,Devon Station-544_G_14,Exeter Energy Project LP-50736_B_B2,Devon Station-544_G_10,Franklin Drive-561_G_UN10,Devon Station-544_G_12,Kleen Energy-56798_G_U1,Hartford Landfill Gas Utilization Proj-55163_G_UNT2,Hartford Landfill Gas Utilization Proj-55163_G_UNT1,Hartford Landfill Gas Utilization Proj-55163_G_UNT3,John Street 1 & 2-56256_G_JS 4,Kimberly Clark-82800_G_CC1,Kimberly Clark-82800_G_GT1,Kleen Energy-56798_G_U2,John Street 1 & 2-56256_G_JS 3,Milford Power Project-55126_G_CA02,Millstone-566_G_2,Montville Station-546_G_11,Lake Road Generating Plant-55149_G_U3,Lake Road Generating Plant-55149_G_U2,Milford Power Project-55126_G_CA01,Millstone-566_G_3,Montville Station-546_B_6,Montville Station-546_B_5,Middletown-562_G_10,NRG Norwalk Harbor-548_B_1,NRG Norwalk Harbor-548_B_2,NRG Norwalk Harbor-548_G_10,PPL Wallingford Energy LLC-55517_G_CTG3,PPL Wallingford Energy LLC-55517_G_CTG2,PPL Wallingford Energy LLC-55517_G_CTG4,NENG_CT_Combustion Turbine-82860_C_1,New Milford Gas Recovery-50564_G_GEN1,North Main Street-581_G_5,Norwich Public Utilities-82117_G_1,New Haven Harbor-6156_B_NHB1,PPL Wallingford Energy LLC-55517_G_CTG1,South Meadow-563_G_14,South Meadow-563_G_13,South Meadow-563_G_11,Waterside Power LLC-56189_G_5,Waterside Power LLC-56189_G_4,Wheelabrator Bridgeport-50883_B_BLR1,Wheelabrator Bridgeport-50883_B_BLR2,Torrington Terminal-565_G_UN10,Tunnel-557_G_10,Waterside Power LLC-56189_G_7,Wheelabrator Bridgeport-50883_B_BLR3,Wheelabrator Lisbon-54758_B_BW2,Middletown-562_B_2,Middletown-562_B_4,Middletown-562_B_3,South Meadow-563_G_12,Covanta Mid-Connecticut Energy-54945_B_13,Covanta Wallingford Energy-50664_B_B102,Devon Station-544_G_11,John Street 1 & 2-56256_G_JS 1,Lake Road Generating Plant-55149_G_U1,PPL Wallingford Energy LLC-55517_G_CTG5,Montville Station-546_G_10,Wheelabrator Lisbon-54758_B_BW1,Bridgeport Station-568_G_4,,,,
,,,,,lat,na,na,41.2,41.4772,41.4772,0,41.16,41.16,0,41.92,41.29,41.16,41.92,0,41.17,41.76,41.76,0,41.02,41.02,41.7506,41.02,41.02,40.6492,40.6492,41.7506,41.02,41.4378,41.4378,41.4378,41.4569,0,41.4569,41.2,41.7128,41.2,41.79,41.2,41.5525,41.7861,41.7861,41.7861,41.4458,0,0,41.5525,41.4458,41.22,41.3358,41.42,41.87,41.87,41.22,41.3358,41.42,41.42,41.55,41.07,41.07,41.07,41.44,41.44,41.44,0,41.5503,41.52,0,41.28,41.44,41.74,41.74,41.74,41.03,41.03,41.1625,41.1625,41.77,41.55,41.03,41.1625,41.5842,41.55,41.55,41.55,41.74,41.7506,41.4569,41.2,41.4458,41.87,41.44,41.42,41.5842,41.17,,,,
,,,,,lon,na,na,73.1,72.0678,72.0678,0,73.18,73.18,0,72.62,72.79,73.18,72.62,0,73.18,72.69,72.69,0,73.59,73.59,72.6533,73.59,73.59,72.9161,72.9161,72.6533,73.59,72.8342,72.8342,72.8342,72.8236,0,72.8236,73.1,72.8192,73.1,73.11,73.1,72.5978,72.6544,72.6544,72.6544,72.8364,0,0,72.5978,72.8364,73.1,72.1472,72.1,71.89,71.89,73.1,72.1472,72.1,72.1,72.57,73.4,73.4,73.4,72.83,72.83,72.83,0,73.4181,72.06,0,72.9,72.83,72.65,72.65,72.65,73.55,73.55,73.2083,73.2083,73.12,72.04,73.55,73.2083,72.0475,72.57,72.57,72.57,72.65,72.6533,72.8236,73.1,72.8364,71.89,72.83,72.1,72.0475,73.18,,,,
,,,,,hours_on,na,na,1896,1836,1836,231,3488,3488,2864,2748,212,3488,2745,702,3488,2882,2885,231,535,533,1836,211,212,1836,1836,1836,212,222,222,222,1836,3488,1836,1892,0,211,211,1899,3488,2864,2864,2864,221,3488,1709,3488,221,3488,0,222,3488,3488,3488,0,258,1886,219,225,228,183,2764,2770,2758,1690,2864,194,222,1657,2775,192,193,194,475,475,1836,1836,211,197,275,1836,1836,2499,248,2538,193,1836,1836,1903,221,3488,2752,222,1836,200,,,,
,,,,,nox_tons_yr,na,na,38.966,44.3099,44.3099,0.18766,36.3848,39.5589,5.29027,49.3269,27.0954,36.1107,22.9414,26.3551,934.354,29.6772,50.0854,0.187633,86.1427,85.8218,79.6441,31.3723,32.4614,38.6647,43.3513,79.6441,28.9056,6.90307,6.97308,6.93661,7.52701,3.23756,9.40876,47.2132,1.33E-12,25.5389,26.1872,40.3094,24.4957,0.47131,0.47131,0.47131,6.89919,1.99588,8.83855,24.7387,6.90015,16.9865,nan,8.28007,22.6401,18.8936,17.23,nan,107.214,72.0677,29.2406,24.7919,28.0814,9.33447,7.23313,5.21094,5.86755,72.3444,4.18092,13.8126,6.86413,375.299,6.24706,42.2072,42.2331,37.0606,10.0652,61.156,106.074,106.074,27.1777,16.7911,19.5535,106.074,32.3093,214.666,105.462,653.803,43.4046,79.6441,9.40876,39.0375,6.97014,19.7352,5.94398,8.01237,32.3093,10.2064,,,,
,,day 1 = May 1,,,nox_tons_yr,na,na,38.966,44.3099,44.3099,0.18766,36.3848,39.5589,5.29027,49.3269,27.0954,36.1107,22.9414,26.3551,934.354,29.6772,50.0854,0.187633,86.1427,85.8218,79.6441,31.3723,32.4614,38.6647,43.3513,79.6441,28.9056,6.90307,6.97308,6.93661,7.52701,3.23756,9.40876,47.2132,1.33E-12,25.5389,26.1872,40.3094,24.4957,0.47131,0.47131,0.47131,6.89919,1.99588,8.83855,24.7387,6.90015,16.9865,nan,8.28007,22.6401,18.8936,17.23,nan,107.214,72.0677,29.2406,24.7919,28.0814,9.33447,7.23313,5.21094,5.86755,72.3444,4.18092,13.8126,6.86413,375.299,6.24706,42.2072,42.2331,37.0606,10.0652,61.156,106.074,106.074,27.1777,16.7911,19.5535,106.074,32.3093,214.666,105.462,653.803,43.4046,79.6441,9.40876,39.0375,6.97014,19.7352,5.94398,8.01237,32.3093,10.2064,nox ratio,1.026611337,nox tons,4833.865173
hrly sum,daily,day,hrly sum,daily,header,hour,load_rank,12447,12398,12399,12401,12403,12405,12448,12397,12402,12404,12396,12417,12408,12415,12416,12418,12424,12425,12428,12421,12423,12426,12427,12430,12422,12435,12436,12437,12432,12486,12433,12446,12450,12443,12454,12445,12469,12458,12459,12460,12462,12464,12465,12468,12463,12478,12481,12482,12470,12471,12479,12480,12484,12485,12477,12493,12494,12495,12497,12498,12499,12487,12490,12491,12492,12489,12501,12517,12519,12516,12535,12537,12538,12539,12530,12533,12536,12540,12542,12474,12475,12476,12518,12431,12434,12444,12461,12472,12500,12483,12541,12406,,,,
838.5295994,47830.1231,1,838.5295994,47830.1231,lb_this_hour,1,2551,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
838.5295994,31337.21226,2,701.081134,0,lb_this_hour,2,2909,0,0,0,0,21.41557629,23.28380645,0,0,0,21.25424493,0,0,549.9474883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0,0,0,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61585831,0,0,0,0,,,,
